County Name,Public Health Region (PHR),Total Doses Allocated,Vaccine Doses Administered,People Vaccinated with at least One Dose,People Fully Vaccinated,People Vaccinated with Booster Dose,"Population
5+","Population
12+","Population, 16+","Population, 65+","Population, Phase 1A Healthcare Workers","Population, Phase 1A Long-term Care Residents","Population, 16-64
 Any Medical Condition","Population, Education and Child Care Personnel",,,,,,,,,,
Dawson,44814,"4,600","10,066","5,012","4,367","1,261","11,679","10,475","9,789","1,898",304,112,"4,206",475,,,,,,,,,,
DeWitt,8,"7,100","21,828","10,044","9,081","3,569","18,888","17,091","16,110","4,035",319,438,"6,110","1,055",,,,,,,,,,
Deaf Smith,1,"5,000","18,650","8,983","7,824","2,626","17,031","14,756","13,439","2,423",238,147,"5,332",0,,,,,,,,,,
Delta,4/5N,"1,700","4,263","1,999","1,761",618,"4,893","4,476","4,222","1,118",379,100,"1,580",0,,,,,,,,,,
Denton,44595,"567,070","1,344,613","611,047","544,517","220,176","829,733","750,269","697,330","93,499","23,806","5,913","257,836","22,330",,,,,,,,,,
Dickens,1,0,"1,694",789,710,297,"2,058","1,943","1,858",525,21,0,689,0,,,,,,,,,,
Dimmit,8,"23,265","21,421","11,820","7,292","2,462","9,411","8,187","7,539","1,749",238,175,"3,179",48,,,,,,,,,,
Donley,1,"1,400","2,941","1,366","1,186",462,"3,094","2,837","2,716",804,27,65,918,0,,,,,,,,,,
Duval,11,"3,800","17,888","8,415","7,122","2,887","10,340","9,183","8,600","2,031",69,150,"3,541",482,,,,,,,,,,
Eastland,44595,"7,340","15,594","7,508","6,510","2,428","17,366","15,879","14,970","4,054",860,389,"5,393",591,,,,,,,,,,
Ector,44814,"117,100","169,028","81,690","69,713","21,274","151,403","131,546","120,896","15,970","5,303","1,016","50,679",428,,,,,,,,,,
Edwards,8,0,"1,911",868,758,321,"1,801","1,648","1,555",561,24,0,528,0,,,,,,,,,,
El Paso,44814,"713,000","1,612,493","792,399","624,722","231,799","783,994","688,420","640,180","105,175","35,065","8,383","245,567","27,330",,,,,,,,,,
Ellis,44595,"130,520","234,577","110,240","97,446","33,444","170,921","153,077","141,665","24,288","3,985","1,994","54,463","6,578",,,,,,,,,,
Erath,44595,"24,600","37,808","17,816","15,739","5,612","40,622","37,010","34,875","6,256","1,250",481,"12,564","1,079",,,,,,,,,,
Falls,7,"30,755","19,596","9,270","7,946","2,827","16,157","14,863","14,049","3,226",328,187,"5,671",486,,,,,,,,,,
Fannin,44595,"37,695","34,212","16,266","14,399","5,511","33,394","30,562","28,874","6,588",962,614,"10,987","1,108",,,,,,,,,,
Fayette,7,"8,700","31,592","14,878","13,019","5,316","24,473","22,151","20,879","6,679",998,647,"6,844",671,,,,,,,,,,
Fisher,44595,"2,200","3,410","1,607","1,400",616,"3,582","3,277","3,088",961,101,28,"1,061",0,,,,,,,,,,
Floyd,1,"2,300","6,003","2,772","2,472",979,"5,229","4,667","4,371","1,070",132,68,"1,723",0,,,,,,,,,,
Foard,44595,"1,700","1,262",600,507,200,"1,104","1,003",962,315,7,80,332,0,,,,,,,,,,
Fort Bend,6/5S,"528,850","1,424,839","649,113","575,764","233,910","742,204","665,167","616,413","93,851","24,721","4,977","175,581","19,047",,,,,,,,,,
Franklin,4/5N,"3,200","9,525","4,520","3,928","1,567","10,258","9,186","8,554","2,367",169,163,"2,871",0,,,,,,,,,,
Freestone,7,"4,400","18,171","8,735","7,783","2,621","18,627","16,823","15,808","3,996",553,261,"6,319",689,,,,,,,,,,
Frio,8,"13,450","26,058","15,185","13,449","3,243","18,870","17,090","16,121","2,499",186,166,"6,797",28,,,,,,,,,,
Gaines,44814,"5,100","10,515","5,329","4,608","1,151","18,921","16,201","14,548","1,907",323,95,"6,156",717,,,,,,,,,,
Galveston,6/5S,"310,560","500,868","225,747","203,797","83,378","320,483","287,908","269,280","50,987","11,784","2,830","96,486","10,219",,,,,,,,,,
Garza,1,"4,200","5,963","3,411","3,206",649,"6,102","5,587","5,325",719,33,75,"2,197",0,,,,,,,,,,
Gillespie,8,"31,400","36,246","16,341","14,515","6,450","25,541","23,486","22,307","8,110","1,175",706,"6,815",681,,,,,,,,,,
Glasscock,44814,0,"1,410",691,605,153,"1,275","1,170","1,099",210,23,0,426,0,,,,,,,,,,
Goliad,8,"2,400","7,973","3,640","3,257","1,371","7,239","6,651","6,281","1,832",39,135,"2,282",0,,,,,,,,,,
Gonzales,8,"11,700","24,189","11,698","10,402","3,692","19,261","17,120","15,937","3,572",550,256,"6,356",693,,,,,,,,,,
Gray,1,"5,500","20,469","9,691","8,589","3,091","20,472","18,191","16,924","3,531",689,315,"6,978",42,,,,,,,,,,
Grayson,44595,"67,740","139,023","67,673","58,499","22,069","127,159","114,863","107,521","24,182","9,338","2,131","40,586","4,254",,,,,,,,,,
Gregg,4/5N,"124,925","140,381","65,459","57,392","20,647","115,575","102,834","95,544","19,451","7,025","2,324","37,362","3,988",,,,,,,,,,
Grimes,7,"4,700","38,248","17,740","15,762","6,201","27,267","24,734","23,245","5,134",234,311,"9,653",771,,,,,,,,,,
Guadalupe,8,"91,395","215,193","103,429","89,958","33,281","156,424","139,873","130,517","23,614","3,801","1,225","49,282","3,850",,,,,,,,,,
Hale,1,"14,000","32,409","15,817","13,963","4,473","31,152","27,448","25,476","4,604",873,399,"10,561","1,177",,,,,,,,,,
Hall,1,0,"3,017","1,404","1,242",527,"2,863","2,552","2,406",711,27,72,978,0,,,,,,,,,,
Hamilton,7,"6,100","9,997","4,569","4,171","1,828","7,976","7,223","6,832","2,146",481,296,"2,427",10,,,,,,,,,,
Hansford,1,"3,400","4,928","2,461","2,206",725,"4,947","4,355","3,987",812,139,84,"1,616",295,,,,,,,,,,
Hardeman,44595,"3,800","4,084","1,932","1,763",680,"3,779","3,383","3,190",912,102,16,"1,146",0,,,,,,,,,,
Hardin,6/5S,"11,800","52,407","24,592","21,650","7,645","53,375","48,425","45,112","9,762","1,003",527,"16,190","1,814",,,,,,,,,,
Harris,6/5S,"3,395,220","7,097,361","3,395,123","2,923,355","1,022,689","4,374,128","3,873,534","3,601,939","514,167","225,769","27,623","1,408,024","148,273",,,,,,,,,,
Harrison,4/5N,"16,870","62,213","29,580","26,030","9,396","62,896","55,838","51,900","11,607","3,063",608,"20,509","2,169",,,,,,,,,,
Hartley,1,"1,475","6,682","3,228","2,639","1,015","5,260","4,854","4,561",861,196,94,"1,669",253,,,,,,,,,,
Haskell,44595,"3,200","5,026","2,497","2,127",634,"5,523","5,059","4,831","1,266",123,68,"1,872",187,,,,,,,,,,
Hays,7,"170,240","352,716","166,538","142,446","55,995","215,309","195,999","183,380","26,187","5,488","1,907","61,462","6,431",,,,,,,,,,
Hemphill,1,"3,100","3,659","1,809","1,595",634,"3,637","3,122","2,827",606,104,98,"1,066",0,,,,,,,,,,
Henderson,4/5N,"23,170","80,139","37,433","32,761","13,176","77,999","71,288","67,238","18,534","2,043",998,"26,544","1,787",,,,,,,,,,
Hidalgo,11,"641,140","1,705,394","882,128","658,042","211,186","788,211","681,678","620,824","98,328","54,962","17,074","286,328","36,161",,,,,,,,,,
Hill,7,"10,400","34,499","16,920","14,657","5,277","34,612","31,136","29,198","7,684",862,523,"11,381","1,209",,,,,,,,,,
Hockley,1,"5,500","23,312","11,289","9,852","3,257","21,516","19,075","17,799","3,453",483,263,"6,829",887,,,,,,,,,,
Hood,44595,"31,570","73,149","32,894","29,450","12,749","57,853","53,157","50,193","15,416","1,720",867,"16,867",147,,,,,,,,,,
Hopkins,4/5N,"14,810","35,470","16,701","14,710","5,199","34,635","31,222","29,175","6,887","1,192",620,"11,166","1,299",,,,,,,,,,
Houston,4/5N,"6,800","23,408","10,855","9,595","4,028","21,817","19,962","18,929","5,176",634,538,"7,399",631,,,,,,,,,,
Howard,44814,"7,900","28,119","14,328","12,490","3,161","34,630","31,311","29,544","4,813","1,456",454,"12,143",858,,,,,,,,,,
Hudspeth,44814,"2,000","8,032","4,037","3,451","1,162","4,445","4,139","3,979",775,33,0,"1,778",145,,,,,,,,,,
Hunt,44595,"39,410","98,740","47,167","41,374","13,993","91,601","82,800","77,878","15,810","4,112",947,"31,096","2,723",,,,,,,,,,
Hutchinson,1,"4,900","17,614","8,271","7,174","2,619","19,460","17,397","16,258","3,581",504,246,"6,098",741,,,,,,,,,,
Irion,44814,0,"1,640",750,664,268,"1,403","1,292","1,234",328,15,0,429,0,,,,,,,,,,
Jack,44595,"3,900","8,191","3,926","3,479","1,154","8,479","7,655","7,230","1,515",198,149,"2,732",284,,,,,,,,,,
Jackson,8,"11,060","15,710","7,365","6,578","2,261","13,758","12,264","11,425","2,720",380,237,"4,205",674,,,,,,,,,,
Jasper,4/5N,"15,270","31,807","14,842","13,109","5,140","33,293","29,963","28,056","7,187","1,597",374,"11,687","1,173",,,,,,,,,,
Jeff Davis,44814,"1,400","2,972","1,328","1,182",542,"2,351","2,246","2,180",812,28,0,685,0,,,,,,,,,,
Jefferson,6/5S,"241,300","304,560","141,399","123,437","46,087","233,164","209,484","197,382","37,595","13,127","2,431","90,120","6,898",,,,,,,,,,
Jim Hogg,11,"1,400","7,556","3,743","2,934",935,"4,737","4,107","3,791",890,14,60,"1,572",0,,,,,,,,,,
Jim Wells,11,"35,525","57,417","26,884","22,492","9,156","37,672","32,896","30,579","6,358","3,897",985,"12,474","1,370",,,,,,,,,,
Johnson,44595,"105,100","193,372","90,824","79,521","28,176","162,793","145,438","135,345","25,151","3,559","1,471","53,224","5,814",,,,,,,,,,
Jones,44595,"3,300","20,419","10,304","8,679","3,226","19,073","17,778","17,011","3,188",337,254,"6,981",525,,,,,,,,,,
Karnes,8,"14,520","18,950","9,268","8,453","2,856","14,708","13,389","12,669","2,211",370,244,"5,177",505,,,,,,,,,,
Kaufman,44595,"65,950","170,195","80,884","70,344","23,751","123,665","110,544","102,341","16,113","2,857","1,189","40,613","4,498",,,,,,,,,,
Kendall,8,"19,400","72,389","33,469","29,097","12,605","44,667","40,495","37,890","9,152","1,091",801,"12,702",160,,,,,,,,,,
Kenedy,11,0,548,246,217,90,375,333,321,68,1,0,139,0,,,,,,,,,,
Kent,44595,0,656,311,273,107,709,646,615,201,13,60,198,0,,,,,,,,,,
Kerr,8,"20,100","61,914","28,947","25,008","10,526","50,071","46,093","43,793","14,769","2,805","1,022","13,990","1,087",,,,,,,,,,
Kimble,44814,"2,900","4,552","2,062","1,817",827,"4,148","3,832","3,651","1,288",90,0,"1,243",0,,,,,,,,,,
King,1,0,109,58,48,9,227,215,205,51,7,0,69,0,,,,,,,,,,
Kinney,8,"2,400","4,483","2,113","1,795",688,"3,486","3,211","3,050",910,11,0,"1,171",0,,,,,,,,,,
Kleberg,11,"59,725","47,885","22,061","18,774","7,723","28,759","25,919","24,188","4,046","1,401",341,"9,265",870,,,,,,,,,,
Knox,44595,"2,300","3,251","1,559","1,398",438,"3,415","3,024","2,808",736,95,127,976,182,,,,,,,,,,
La Salle,8,"24,535","11,212","5,417","4,727","1,772","7,088","6,477","6,212","1,018",22,60,"2,410",0,,,,,,,,,,
Lamar,4/5N,"28,200","46,414","21,572","19,085","7,456","46,506","41,942","39,402","9,726","3,115",745,"14,986","1,612",,,,,,,,,,
Lamb,1,"2,400","13,300","6,269","5,421","2,181","11,746","10,452","9,740","2,240",454,226,"3,968",536,,,,,,,,,,
Lampasas,7,"5,000","23,189","11,113","9,614","3,708","20,275","18,448","17,366","4,322",348,284,"6,457",0,,,,,,,,,,
Lavaca,8,"8,700","20,709","9,710","8,860","3,501","19,089","17,169","16,004","4,775",820,612,"5,435",476,,,,,,,,,,
Lee,7,"5,900","19,290","9,131","7,951","3,021","16,441","14,935","13,993","3,219",334,226,"5,333",494,,,,,,,,,,
Leon,7,"3,800","16,029","7,773","6,825","2,601","16,347","14,753","13,946","4,334",155,74,"4,662",603,,,,,,,,,,
Liberty,6/5S,"42,565","92,692","45,403","38,946","11,247","80,581","71,663","66,868","11,399","1,398",614,"28,567","2,987",,,,,,,,,,
Limestone,7,"8,100","21,322","10,408","9,114","3,230","22,132","20,032","18,871","4,670","2,332","1,060","7,512",702,,,,,,,,,,
Lipscomb,1,"1,300","2,203","1,046",940,309,"3,023","2,698","2,520",617,24,61,919,190,,,,,,,,,,
Live Oak,11,"3,400","9,926","4,539","4,049","1,563","11,525","10,565","10,055","2,533",35,100,"3,769",300,,,,,,,,,,
Llano,7,"6,800","27,766","12,475","11,207","5,431","20,983","19,603","18,908","8,119",277,358,"5,362",15,,,,,,,,,,
Loving,44814,0,75,41,30,5,135,130,129,23,0,0,50,0,,,,,,,,,,
Lubbock,1,"239,890","355,636","167,183","146,756","52,837","290,090","261,427","244,992","39,476","20,974","4,093","83,028","9,242",,,,,,,,,,
Lynn,1,"1,800","5,628","2,634","2,330",818,"5,435","4,851","4,496",974,191,40,"1,838",328,,,,,,,,,,
Madison,7,"4,100","14,849","7,021","6,136","2,433","13,531","12,264","11,595","2,264",299,258,"4,451",17,,,,,,,,,,
Marion,4/5N,"1,300","9,429","4,443","3,984","1,493","9,460","8,663","8,277","2,697",351,158,"3,058",0,,,,,,,,,,
Martin,44814,"2,400","4,226","2,108","1,729",525,"5,114","4,473","4,136",659,165,0,"1,624",0,,,,,,,,,,
Mason,44814,"2,000","5,228","2,285","2,093","1,020","4,034","3,712","3,521","1,250",104,0,"1,147",0,,,,,,,,,,
Matagorda,6/5S,"16,950","41,798","19,916","17,120","5,943","33,641","30,169","28,247","6,391","1,113",369,"11,409","1,164",,,,,,,,,,
Maverick,8,"46,700","133,616","72,844","51,816","14,824","53,126","46,417","42,606","7,003","2,970","1,198","18,727",152,,,,,,,,,,
McCulloch,44814,"4,400","7,506","3,419","3,079","1,279","7,590","6,865","6,435","1,792",212,122,"2,275",260,,,,,,,,,,
McLennan,7,"153,530","311,156","148,435","129,708","47,130","239,819","215,130","200,781","37,728","11,153","3,621","71,906","8,718",,,,,,,,,,
McMullen,11,"1,200",767,355,328,127,685,640,616,189,10,0,202,0,,,,,,,,,,
Medina,8,"18,100","67,086","31,449","27,686","11,149","48,707","44,092","41,263","8,757",899,536,"16,090","1,720",,,,,,,,,,
Menard,44814,"1,400","2,709","1,217","1,114",526,"2,058","1,888","1,790",699,9,40,550,0,,,,,,,,,,
Midland,44814,"135,835","179,355","86,198","74,374","22,181","161,155","141,259","131,025","18,438","5,950","1,288","49,538","4,151",,,,,,,,,,
Milam,7,"11,200","27,601","12,489","11,232","4,548","23,507","21,093","19,689","5,245",532,297,"7,641",827,,,,,,,,,,
Mills,7,"2,600","5,098","2,303","2,058",899,"4,674","4,242","4,006","1,416",149,152,"1,305",265,,,,,,,,,,
Mitchell,44595,"4,000","7,467","3,387","3,071","1,395","7,932","7,286","6,958","1,259",265,96,"2,753",254,,,,,,,,,,
Montague,44595,"4,950","16,776","8,031","6,956","2,537","18,573","16,816","15,872","4,444",560,383,"5,668",702,,,,,,,,,,
Montgomery,6/5S,"404,890","813,902","389,941","337,167","114,886","562,022","503,062","467,232","81,457","20,255","3,836","157,396","17,330",,,,,,,,,,
Moore,1,"7,240","23,333","11,913","9,259","2,472","18,871","16,411","14,986","2,372",448,176,"6,143",27,,,,,,,,,,
Morris,4/5N,"2,100","13,094","6,211","5,415","2,118","11,539","10,449","9,830","2,730",77,179,"3,692",0,,,,,,,,,,
Motley,1,0,916,466,335,132,"1,121","1,051",994,368,22,50,319,0,,,,,,,,,,
Nacogdoches,4/5N,"33,100","69,288","33,663","29,054","11,064","60,264","54,401","51,773","9,953","2,530",755,"19,948","1,728",,,,,,,,,,
Navarro,44595,"33,100","56,852","26,513","23,215","8,384","46,145","41,283","38,360","8,651","1,720",869,"15,775","1,772",,,,,,,,,,
Newton,4/5N,"2,900","8,097","3,725","3,310","1,313","12,907","11,888","11,298","2,878",55,113,"4,648",354,,,,,,,,,,
Nolan,44595,"9,000","14,549","7,007","6,367","2,635","13,617","12,204","11,321","2,737",519,251,"4,249",719,,,,,,,,,,
Nueces,11,"289,725","512,483","238,132","205,618","83,550","340,073","303,484","284,366","54,069","25,582","4,100","113,767","9,771",,,,,,,,,,
Ochiltree,1,"4,700","8,452","4,222","3,719",795,"9,045","7,814","7,106","1,148",200,114,"2,812",0,,,,,,,,,,
Oldham,1,"1,600","1,843",870,757,262,"2,039","1,894","1,728",316,18,0,654,227,,,,,,,,,,
Orange,6/5S,"5,300","72,831","34,520","29,807","10,582","76,811","69,350","65,087","13,729","1,456",548,"26,244","2,692",,,,,,,,,,
Palo Pinto,44595,"6,500","26,377","12,322","10,938","4,107","27,238","24,719","23,207","5,893",864,283,"8,796",816,,,,,,,,,,
Panola,4/5N,"3,900","19,487","9,398","8,275","2,905","22,135","19,777","18,462","4,589",473,377,"7,117",661,,,,,,,,,,
Parker,44595,"73,730","153,510","72,110","64,277","22,616","131,956","119,419","111,686","22,331","2,890","1,301","40,567","3,773",,,,,,,,,,
Parmer,1,"2,600","9,256","4,372","3,833","1,447","8,843","7,816","7,222","1,366",161,174,"2,910",525,,,,,,,,,,
Pecos,44814,"6,700","22,470","10,552","9,302","3,579","14,618","13,080","12,317","2,141",400,120,"5,047",517,,,,,,,,,,
Polk,4/5N,"10,200","54,100","25,116","21,821","9,172","48,305","44,390","42,276","9,733","1,184",574,"17,118","1,025",,,,,,,,,,
Potter,1,"194,195","125,960","60,502","51,248","17,346","107,179","95,273","88,673","15,203","10,224","1,770","35,559",518,,,,,,,,,,
Presidio,44814,"5,300","16,632","7,938","6,317","2,665","6,009","5,392","5,069","1,601",27,0,"2,039",0,,,,,,,,,,
Rains,4/5N,"2,000","11,155","5,130","4,568","1,804","11,715","10,798","10,277","3,123",163,68,"3,649",0,,,,,,,,,,
Randall,1,"16,170","150,033","70,250","61,547","22,806","129,477","116,059","108,431","21,424","2,812",869,"34,803",519,,,,,,,,,,
Reagan,44814,"1,400","3,483","1,769","1,549",385,"3,500","3,078","2,841",427,52,42,"1,173",0,,,,,,,,,,
Real,8,"2,000","4,105","1,859","1,631",715,"3,343","3,070","2,943","1,053",25,86,"1,051",0,,,,,,,,,,
Red River,4/5N,"3,500","10,763","5,333","4,695","1,412","11,435","10,450","9,965","3,044",420,252,"3,717",477,,,,,,,,,,
Reeves,44814,"31,075","31,754","20,287","9,189","2,433","14,862","13,495","12,781","1,878",281,89,"5,277",0,,,,,,,,,,
Refugio,11,"2,900","9,283","4,142","3,715","1,603","6,524","5,921","5,583","1,617",228,154,"2,031",313,,,,,,,,,,
Roberts,1,0,604,284,257,93,801,730,672,193,16,0,227,0,,,,,,,,,,
Robertson,7,"4,200","18,178","8,768","7,686","2,876","15,864","14,349","13,474","3,412",252,252,"4,991",690,,,,,,,,,,
Rockwall,44595,"59,095","148,123","70,013","60,778","21,823","95,901","86,906","80,325","13,395","3,750","1,347","27,575","3,321",,,,,,,,,,
Runnels,44595,"7,600","10,702","5,002","4,554","1,684","9,663","8,726","8,184","2,153",405,312,"2,979",430,,,,,,,,,,
Rusk,4/5N,"11,670","50,909","24,491","21,451","7,647","51,241","46,536","43,777","9,197","1,501",759,"17,428","1,859",,,,,,,,,,
